from,to,Type,weight
s01,s01,hyperlink,1
s02,s01,hyperlink,1
s03,s01,hyperlink,1
s04,s01,hyperlink,1
s05,s01,hyperlink,1
s06,s01,hyperlink,1
s07,s01,hyperlink,1
s08,s01,hyperlink,1
s09,s01,hyperlink,1
s10,s01,hyperlink,1
s11,s01,hyperlink,1
s12,s01,hyperlink,1
s13,s01,hyperlink,1
s14,s01,hyperlink,1
s15,s01,hyperlink,1
s16,s01,hyperlink,1
s17,s01,hyperlink,1
s18,s01,hyperlink,1
s19,s01,hyperlink,1
s20,s01,hyperlink,1
s21,s01,hyperlink,1
s22,s01,hyperlink,1
s23,s01,hyperlink,1
s24,s01,hyperlink,1
s25,s01,hyperlink,1
s26,s01,hyperlink,1
s27,s01,hyperlink,1
s28,s01,hyperlink,1
s29,s01,hyperlink,1
s30,s01,hyperlink,1
s31,s01,hyperlink,1
s32,s01,hyperlink,1
s33,s01,hyperlink,1
s34,s01,hyperlink,1
s35,s01,hyperlink,1
s36,s01,hyperlink,1
s37,s01,hyperlink,1
s38,s01,hyperlink,1
s39,s01,hyperlink,1
s40,s01,hyperlink,1
s41,s01,hyperlink,1
s42,s01,hyperlink,1
s43,s01,hyperlink,1
s44,s01,hyperlink,1
s45,s01,hyperlink,1
s46,s01,hyperlink,1
s47,s01,hyperlink,1
s48,s01,hyperlink,1
s49,s01,hyperlink,1
s50,s01,hyperlink,1
s51,s01,hyperlink,1
