,,B73,
1,GEMS-0101,0.9992,
2,F42,0.9989,
3,B73Htrhm,0.9982,
4,DJ7,0.997,
5,NC372,0.9958,
6,58804Mo17MethBcS3,0.9957,
7,58614B73MethBc5S4,0.9956,
8,58802Mo17MethBcS3,0.9956,
9,NC252,0.9956,
10,58613B73MethBc5S4,0.9951,
11,58612InbredB73,0.995,
12,NC280,0.9947,
13,NC326,0.9915,
14,AusTRCF306309,0.9905,
15,NC256,0.9903,
16,A680,0.9902,
17,AusTRCF305840,0.99,
18,AusTRCF305839,0.99,
19,N201,0.9899,
20,NC292,0.9895,
21,NC330,0.9892,
22,PB80,0.9877,
23,LH202,0.9875,
24,NC282,0.9874,
25,NC316,0.987,
26,AusTRCF306310,0.9869,
27,Tx714,0.9868,
28,AusTRCF306307,0.986,
29,AusTRCF306308,0.9857,
30,NC284,0.9852,
31,NC254,0.9851,
32,AusTRCF306306,0.9838,
33,NC328,0.9837,
34,LH119,0.9832,
35,W8304,0.9828,
36,R229,0.9819,
37,NC310,0.9806,
38,LH196,0.9799,
39,B73HT,0.9794,
40,SD108,0.9791,
41,GEMS-0149,0.9791,
42,AusTRCF305833,0.9773,
43,AusTRCF306304,0.9769,
44,LH132,0.9767,
45,B109,0.9758,
46,AusTRCF306235,0.9753,
47,LP5,0.9748,
48,LH190,0.9747,
49,89S4098,0.9747,
50,AusTRCF306302,0.9739,
51,AusTRCF306303,0.9714,
